Iteration,Host,IP Source,IP Destination,Source Port,Destination Port,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
8,h2,10.0.1.1,10.0.2.2,49989,443,receiver,2966,1746276295.434356,0,[],0,30615967.025808275
8,h2,10.0.1.2,10.0.2.2,55524,443,receiver,8946,1746276295.437611,0,[],10,33525125.78795803
8,h2,10.0.2.2,239.1.1.1,56117,443,receiver,8988,1746276295.4392524,0,[],51,33368945.811449446
9,h1,10.0.1.1,10.0.2.2,49989,443,sender,3000,1746276641.491926,,,0,
9,h1,10.0.1.1,10.0.5.1,56754,443,sender,3000,1746276641.490978,,,0,
9,h2,10.0.2.2,10.0.1.1,56117,443,sender,15000,1746276641.492413,,,51,
9,h3,10.0.5.1,10.0.1.2,50327,443,sender,15000,1746276641.493241,,,2,
9,h4,10.0.1.2,10.0.2.2,55524,443,sender,30000,1746276641.4905,,,10,
9,h4,10.0.5.1,10.0.1.2,50327,443,receiver,8812,1746276641.5108447,0,[],2,34044123.97297202
9,h4,10.0.2.2,239.1.1.1,56117,443,receiver,8828,1746276641.513363,0,[],51,33981069.348546416
9,h2,10.0.1.1,10.0.2.2,49989,443,receiver,2965,1746276641.5078182,0,[],0,32495643.155771773
9,h2,10.0.2.2,239.1.1.1,56117,443,receiver,8827,1746276641.5120487,0,[],51,33984986.92571402
9,h2,10.0.1.2,10.0.2.2,55524,443,receiver,8861,1746276641.5143108,0,[],10,33856066.79538612
9,h1,10.0.2.2,239.1.1.1,56117,443,receiver,8824,1746276641.512292,0,[],51,33996509.0790555
9,h3,10.0.1.1,10.0.5.1,56754,443,receiver,2969,1746276641.5109286,0,[],0,32571650.306236517
9,h3,10.0.2.2,239.1.1.1,56117,443,receiver,8815,1746276641.5114875,0,[],51,34031401.69209687
10,h1,10.0.1.1,10.0.2.2,49989,443,sender,3000,1746276987.517288,,,0,
10,h1,10.0.1.1,10.0.5.1,56754,443,sender,3000,1746276987.509953,,,0,
10,h2,10.0.2.2,10.0.1.1,56117,443,sender,15000,1746276987.537013,,,51,
10,h4,10.0.1.2,10.0.2.2,55524,443,sender,30000,1746276987.519092,,,10,
10,h3,10.0.5.1,10.0.1.2,50327,443,sender,15000,1746276987.551154,,,2,
10,h1,10.0.2.2,239.1.1.1,56117,443,receiver,8915,1746276987.5595062,0,[],51,33648656.555193186
10,h4,10.0.2.2,239.1.1.1,56117,443,receiver,8915,1746276987.5601883,0,[],51,33648603.92392395
10,h4,10.0.5.1,10.0.1.2,50327,443,receiver,8891,1746276987.5723414,0,[],2,33739680.099401526
10,h3,10.0.2.2,239.1.1.1,56117,443,receiver,8919,1746276987.560225,0,[],51,33633533.14053828
10,h3,10.0.1.1,10.0.5.1,56754,443,receiver,2974,1746276987.5616527,0,[],0,30701471.48137455
10,h2,10.0.2.2,239.1.1.1,56117,443,receiver,8917,1746276987.5594535,0,[],51,33641123.218200535
10,h2,10.0.1.1,10.0.2.2,49989,443,receiver,2967,1746276987.5603395,0,[],0,30553250.99262357
10,h2,10.0.1.2,10.0.2.2,55524,443,receiver,8922,1746276987.562813,0,[],10,33622009.44794059
